rating,team,position,salary,country,draft_round,age,experience,bmi
74,No Team,F,25102512.0,USA,2,32,9,21.37807521915355
74,Toronto Raptors,G,10116576.0,USA,2,27,5,26.731723362846413
74,No Team,F-C,451326.0,USA,2,23,3,23.065366124260354
74,Golden State Warriors,F,1882867.0,USA,2,26,6,24.41332517090093
74,Chicago Bulls,G,3377568.0,USA,1,27,4,25.571156272651617
74,Boston Celtics,F-C,1937520.0,USA,1,23,2,26.0865344948919
74,Detroit Pistons,F,1645357.0,USA,0,25,5,22.64700443786982
74,New Orleans Pelicans,F-C,4862040.0,USA,1,20,1,22.414141641023342
74,Washington Wizards,F,4469160.0,Not-USA,1,22,1,24.76643451673179
73,Toronto Raptors,F-G,2281800.0,Not-USA,1,23,3,26.04638499047054
73,Charlotte Hornets,G,1618520.0,USA,2,25,3,25.454035302520154
73,Atlanta Hawks,F,2603981.0,USA,1,26,4,24.44033735943357
73,Phoenix Suns,F,1788296.0,Not-USA,2,24,3,23.664733432017282
73,Milwaukee Bucks,G,1618520.0,USA,2,25,3,27.157955018742193
73,Detroit Pistons,G,1416852.0,USA,2,24,2,23.13619157561277
73,Washington Wizards,F-G,3219480.0,USA,1,21,2,24.875012753800632
73,Philadelphia 76ers,G,2320044.0,USA,1,29,9,22.561473319049078
73,Los Angeles Lakers,G,2750000.0,USA,0,26,4,21.9622032486464
73,Houston Rockets,C,2564753.0,USA,1,38,19,23.494015737618202
73,No Team,G-F,17818456.0,USA,2,28,7,23.26114119117035
73,Cleveland Cavaliers,G,9607500.0,Not-USA,0,30,7,23.623255941448974
73,Orlando Magic,F,1882867.0,USA,2,30,7,23.255280073461893
73,Dallas Mavericks,F,4000000.0,USA,0,27,4,23.915249622534102
73,Chicago Bulls,G,1620564.0,USA,0,27,4,21.331155169426506
73,Indiana Pacers,G,2239200.0,USA,1,24,2,25.055988533548327
73,Houston Rockets,F,3540000.0,USA,0,27,4,25.454035302520154
73,Toronto Raptors,F,3623000.0,USA,1,24,5,27.999693908784817
73,Memphis Grizzlies,G,10116000.0,USA,1,24,5,25.055988533548327
73,Philadelphia 76ers,F,1620564.0,Not-USA,1,23,4,20.769287888913645
73,Washington Wizards,C,15450051.0,Not-USA,1,34,15,23.433885132858652
73,No Team,G-F,8730158.0,USA,2,33,15,26.841648811345785
73,Oklahoma City Thunder,F-C,2028594.0,USA,2,29,7,24.1147374260355
73,New York Knicks,G,4855800.0,Not-USA,1,22,3,23.13619157561277
73,Houston Rockets,G,2581965.0,USA,0,27,4,24.794356518117453
73,Utah Jazz,F,1618520.0,USA,0,27,5,27.520201884614355
73,Boston Celtics,F,1618520.0,USA,2,26,3,27.18855218855219
73,Minnesota Timberwolves,G,2530680.0,Not-USA,1,22,2,25.938951381245136
73,No Team,G-F,1000000.0,USA,0,31,8,22.561473319049078
73,Washington Wizards,G,6000000.0,USA,0,32,10,23.703305563020688
73,Detroit Pistons,F,11392857.0,USA,1,29,7,22.908376696255484
73,Minnesota Timberwolves,F,1897800.0,USA,1,23,2,26.96741003178918
73,Brooklyn Nets,G-F,4767000.0,USA,0,34,11,23.024260724698046
73,Minnesota Timberwolves,G-F,18606556.0,USA,1,32,10,23.719518416488114
